RFID,Retail_CycleCountDate,Retail_CycleCountDate_ts,Retail_Disposition,Retail_Product_Color,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_StoreNumber,Retail_ZoneName,Retail_ZoneType,shardId,viz_groupCode,viz_groupId,viz_id,viz_serialNumber,viz_source,viz_thingTypeCode,viz_time
303405D2BC30D9028FA6B04F,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,PRETO,,C,VESTUARIO,,CH,CHD,CHD,SAPATILHA  CH SLO MOLECA BRIM GEOMETRICO,9540750002,35,SAPATILHA,,00095407500208,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13096068258617707,303405D2BC30D9028FA6B04F,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D028138D028FA6AF52,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,VINHO,,C,VESTUARIO,,CS,CSA,CSA,BLUSA MANGA CURTA CDD SLO VIVA CIDADE BL,9524220002,G,BLUSA MALHA,,00095242200202,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.12956063087913422,303405D028138D028FA6AF52,MOBILE,ITEM,2022-08-16 12:38:41.571
303405CDF03AAD028FA6B001,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,VERDE,,C,VESTUARIO,,CT,CTA,CTA,BLUSA MANGA CURTA CF SLO VIVA CASUAL CIG,9510060008,GG,BLUSA MALHA,,00095100600847,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13207523588410863,303405CDF03AAD028FA6B001,MOBILE,ITEM,2022-08-16 12:38:41.571
3035E22CC01E5104A817CD19,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,NA,,W,BELEZA,,WB,WBQ,WBQ,SHAMPOO JEQUITI JUSTICE LEAGUE 150 ML,9739820000,NA,SHAMPOO,,07899952310441,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.14406831430709114,3035E22CC01E5104A817CD19,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D2B83AA3C28FA6AF09,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,BRANCO,,C,VESTUARIO,,CH,CHF,CHF,TENIS  CH SLO EVT NAMO MOLECA 5740204167,9540660004,37,TÊNIS,,00095406600473,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13096196058301861,303405D2B83AA3C28FA6AF09,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D6641D51428FA6AFCB,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,PRETO,,C,VESTUARIO,,CY,CYA,CYA,CALCA JEANS MARCA DE TERCEIROS CIGARRETE,9564130002,42,CALÇA JEANS,,00095641300213,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13271586880906941,303405D6641D51428FA6AFCB,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E5442713C28FA6AFC9,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,VERDE,,C,VESTUARIO,,CH,CHA,CHA,RASTEIRA  CH SLO VIVA ADULTO TIRA SINTET,9659340001,35,RASTEIRA,,00096593400150,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13750171110610829,303405E5442713C28FA6AFC9,MOBILE,ITEM,2022-08-16 12:38:41.571
303405C54857F0428FA6AEE5,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,CRU,,C,VESTUARIO,,CS,CSA,CSA,BLUSA SEM MANGA CDD SLO VIVA CIDADE ESTA,9454690004,44,TOP PLANO,,00094546900498,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13372013504301878,303405C54857F0428FA6AEE5,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D4603A9F428FA6AE39,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,BRANCO,,C,VESTUARIO,,CH,CHF,CHF,TENIS  C1 SLO VIVA 10134 PE 0135 BRANCO,9551260002,35,TÊNIS,,00095512600299,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13260306780012307,303405D4603A9F428FA6AE39,MOBILE,ITEM,2022-08-16 12:38:41.571
303405B1C03AA6C28FA6AE09,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,CRU,,C,VESTUARIO,,CZ,CZA,CZA,BLUSA MANGA LONGA PLUS SLO VIVA PLUS BLU,9329660005,54,TOP PLANO,,00093296600597,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13940551984214945,303405B1C03AA6C28FA6AE09,MOBILE,ITEM,2022-08-16 12:38:41.571
303405CBE0000BC28FA6B5CC,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,CINZA,,C,VESTUARIO,,CQ,CQA,CQA,BERMUDA ESP SLO NORTON  LISO CHUMBO E MA,9496800004,P,BERMUDA ESPORTE,,00094968000479,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.14407032938320083,303405CBE0000BC28FA6B5CC,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D35C0004C4A817CA72,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,PRETO,,C,VESTUARIO,,CH,CHG,CHG,CHINELO  C1 SLO IPANEMA LISO 26519 PRETO,9544700001,38,CHINELO FEM,,00095447000195,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13284008107309850,303405D35C0004C4A817CA72,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D0F44E26428FA6AEFB,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,PRETO,,C,VESTUARIO,,CF,CFA,CFA,SHORT CF PRD YEAPP SHORT SAIA MALHA GLIT,9529380002,12,BOTTOM CURTO MARCA PRÓPRIA,,00095293800253,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13258732071020701,303405D0F44E26428FA6AEFB,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D048000A028FA6AF6E,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,ROSA,,C,VESTUARIO,,CH,CHD,CHD,SAPATILHA  CH SLO MOLECA VERNIZ SIENA NE,9525000004,37,SAPATILHA,,00095250000405,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13042394681625589,303405D048000A028FA6AF6E,MOBILE,ITEM,2022-08-16 12:38:41.571
303405B1B84461428FA6B018,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,CRU,,C,VESTUARIO,,CZ,CZA,CZA,BLUSA SEM MANGA PLUS SLO VIVA PLUS BLUSA,9329470002,48,TOP PLANO,,00093294700213,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13345505952200245,303405B1B84461428FA6B018,MOBILE,ITEM,2022-08-16 12:38:41.571
