Retail_Clearance,Retail_InTransitQTY,Retail_Product_Color,Retail_Product_Dimension,Retail_Product_ExternalSKU,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Level4,Retail_Product_Level4Name,Retail_Product_Level5,Retail_Product_Level5Name,Retail_Product_Manufacturer,Retail_Product_Name,Retail_Product_RFIDTagged,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_Product_UPCs,Retail_SFMax,Retail_SFMin,Retail_SOHDate,Retail_SOHQTY,Retail_SOHQTY_SF,Retail_SOHQTY_SR,Retail_StoreInProcess,Retail_StoreNumber,serial,thingTypeId
false,0,NA,NaVal,NaVal,NaVal,W,BELEZA,NaVal,WB,WBV,WBV,WBVCB,WBVC,SIAGE,WBVCB,NaVal,SIAGE CONDICIONADOR RECONSTROI OS FIOS 2,NaVal,9170520000,NA,CONDICIONADOR,NaVal,07891033925513,07891033925513,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009170520000,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYC,CYC,CYCDA,CYCD,JEANS,CYCDA,NaVal,BERMUDA APP JEANS PS SLO INK CICLISTA BL,NaVal,9392380001,46,BOTTOM CURTO JEANS PLUS,NaVal,00093923800178,00093923800178,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009392380001,384
false,0,NA,NaVal,NaVal,NaVal,W,BELEZA,NaVal,WA,WAC,WAC,WACPA,WACP,COL GIO ANTON ELEGAN,WACPA,NaVal,DESODORANTE COLONIA FEMININA GIO ANTONEL,NaVal,9583200000,NA,PERFUME,NaVal,07899952315996,07899952315996,0,0,2022-08-16 07:00:36.468,5,5,0,0,233,233_009583200000,384
false,0,NA,NaVal,NaVal,NaVal,H,ELETRO-ELETRONICOS,NaVal,HJ,HJB,HJB,HJBAB,HJBA,TAB MINNIE 32G NB368,HJBAB,NaVal,TABLET MULTILASER MINNIE WIFI 32GB TELA,NaVal,9464040000,NA,TABLET WIFI ANDROID,NaVal,00094640400047,00094640400047,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009464040000,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CM,CMA,CMA,CMAAM,CMAA,JEANS,CMAAM,NaVal,CALCA JEANS CRN MSA INK JOGGER JEANS BAS,NaVal,9532910003,44,CALÇA JEANS,NaVal,00095329100302,00095329100302,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009532910003,384
false,0,VINHO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CN,NaVal,CNC,NaVal,CNCS,JV CN,CNCSC,NaVal,SHORT DOLL SEM MANGA JV CN PRD GARFIELD,NaVal,9443550009,P,SHORT DOLL,NaVal,00094435500976,00094435500976,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009443550009,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYD,CYD,CYDAB,CYDA,JEANS,CYDAB,NaVal,CALCA JEANS CF MSA INK USED TANK BARRA D,NaVal,9384530004,38,CALÇA JEANS,NaVal,00093845300480,00093845300480,0,0,2022-08-16 07:00:36.468,4,4,0,0,233,233_009384530004,384
false,0,NA,NaVal,NaVal,NaVal,H,ELETRO-ELETRONICOS,NaVal,HZ,HZB,HZB,HZBLB,HZBL,LRG4721L KP53M1KX,HZBLB,NaVal,RELOGIO FEM LINCE DOURADO KIT COLAR BRIN,NaVal,9629360000,NA,KIT FEMININO DOURADO,NaVal,00096293600003,00096293600003,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009629360000,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CM,CMA,CMA,CMAAD,CMAA,CM,CMAAD,NaVal,CALCA CM MSA INK SLIM LAVAGEM COM USED B,NaVal,9440770001,36,CALÇA JEANS,NaVal,00094407700113,00094407700113,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009440770001,384
false,0,AZUL,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CN,CNC,CNC,CNCSB,CNCS,NaVal,CNCSB,NaVal,SHORT DOLL MANGA CURTA JV CN EVT NAMO EL,NaVal,9561230003,M,SHORT DOLL,NaVal,00095612300334,00095612300334,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009561230003,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C9,C9A,C9A,C9AKA,C9AK,C9,C9AKA,NaVal,CALCINHA  C9 SLO ELLA LISO PRETO GG PRET,NaVal,9657660004,GG,KIT CALCINHA,NaVal,00096576600478,00096576600478,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009657660004,384
false,0,NA,NaVal,NaVal,NaVal,W,BELEZA,NaVal,WL,WLM,WLM,WLMBB,WLMB,WL,WLMBB,NaVal,DELINEADOR  WL VULT VULT DELIN OLH LIQ P,NaVal,9032350000,NA,DELINEADOR,NaVal,07898417964267,07898417964267,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009032350000,384
false,0,ROSA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C6,NaVal,C6A,NaVal,C6AB,TRS,C6ABG,NaVal,3 CALCINHAS APP TRS REF 51509 K200 POA R,NaVal,9524810003,GG,CALCINHA / BOTTOM,NaVal,00095248100308,00095248100308,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009524810003,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CJ,CJA,CJA,CJATB,CJAT,CJ,CJATB,NaVal,SOUTIEN CJ ELLA BICOLOR PRETO 44 PRETO E,NaVal,9546410003,44,SOUTIEN / TOP,NaVal,00095464100342,00095464100342,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009546410003,384
false,0,BRANCO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAED,CYAE,SARJA,CYAED,NaVal,BERMUDA SARJA CRN SLO INK LISO BRANCO 44,NaVal,9623060001,44,BOTTOM CURTO SARJA,NaVal,00096230600127,00096230600127,0,0,2022-08-16 07:00:36.468,5,5,0,0,233,233_009623060001,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,NaVal,CYC,NaVal,CYCD,BERMUDA JEANS,CYCDB,NaVal,BERMUDA PS PRD COM RASGOS 02FE00603 JEAN,NaVal,9633180002,48,BOTTOM CURTO JEANS PLUS,NaVal,00096331800297,00096331800297,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009633180002,384
